embedding_name,classifier,module_name,MCC,AUC_ROC
FastText(Skip-Gram),CNN,template,0.7068094,0.85314551
FastText(Skip-Gram),CNN,file,0.785361206,0.886449588
FastText(Skip-Gram),CNN,gather_facts,0.799449228,0.897919979
FastText(Skip-Gram),CNN,copy,0.643529787,0.811085973
FastText(Skip-Gram),CNN,service,0.841507685,0.920753843
FastText(Skip-Gram),CNN,debug,0.555645291,0.778311966
FastText(Skip-Gram),CNN,fail,0.62291619,0.809455128
FastText(Skip-Gram),LSTM,shell,0.95,0.959895833
FastText(Skip-Gram),LSTM,command,0.95,0.944973545
FastText(Skip-Gram),LSTM,set_fact,0.98,0.809820359
FastText(Skip-Gram),LSTM,template,0.99,0.984974619
FastText(Skip-Gram),LSTM,file,0.95,0.934759358
FastText(Skip-Gram),LSTM,gather_facts,0.92,0.883615819
FastText(Skip-Gram),LSTM,copy,0.9,0.90989011
FastText(Skip-Gram),LSTM,service,0.95,0.897222222
FastText(Skip-Gram),LSTM,debug,0.96,0.872727273
FastText(Skip-Gram),LSTM,fail,0.88,0.864739884
